,code,name
0,A01,农业
1,A02,林业
2,A03,畜牧业
3,A04,渔业
4,A05,农、林、牧、渔服务业
5,B06,煤炭开采和洗选业
6,B07,石油和天然气开采业
7,B08,黑色金属矿采选业
8,B09,有色金属矿采选业
9,B10,非金属矿采选业
10,B11,开采辅助活动
11,B12,其他采矿业
12,C13,农副食品加工业
13,C14,食品制造业
14,C15,酒、饮料和精制茶制造业
15,C16,烟草制品业
16,C17,纺织业
17,C18,纺织服装、服饰业
18,C19,皮革、毛皮、羽毛及其制品和制鞋业
19,C20,木材加工及木、竹、藤、棕、草制品业
20,C21,家具制造业
21,C22,造纸及纸制品业
22,C23,印刷和记录媒介复制业
23,C24,文教、工美、体育和娱乐用品制造业
24,C25,石油加工、炼焦及核燃料加工业
25,C26,化学原料及化学制品制造业
26,C27,医药制造业
27,C28,化学纤维制造业
28,C29,橡胶和塑料制品业
29,C30,非金属矿物制品业
30,C31,黑色金属冶炼及压延加工业
31,C32,有色金属冶炼和压延加工业
32,C33,金属制品业
33,C34,通用设备制造业
34,C35,专用设备制造业
35,C36,汽车制造业
36,C37,铁路、船舶、航空航天和其它运输设备制造业
37,C38,电气机械及器材制造业
38,C39,计算机、通信和其他电子设备制造业
39,C40,仪器仪表制造业
40,C41,其他制造业
41,C42,废弃资源综合利用业
42,C43,金属制品、机械和设备修理业
43,D44,电力、热力生产和供应业
44,D45,燃气生产和供应业
45,D46,水的生产和供应业
46,E47,房屋建筑业
47,E48,土木工程建筑业
48,E49,建筑安装业
49,E50,建筑装饰和其他建筑业
50,F51,批发业
51,F52,零售业
52,G53,铁路运输业
53,G54,道路运输业
54,G55,水上运输业
55,G56,航空运输业
56,G57,管道运输业
57,G58,装卸搬运和运输代理业
58,G59,仓储业
59,G60,邮政业
60,H61,住宿业
61,H62,餐饮业
62,I63,电信、广播电视和卫星传输服务
63,I64,互联网和相关服务
64,I65,软件和信息技术服务业
65,J66,货币金融服务
66,J67,资本市场服务
67,J68,保险业
68,J69,其他金融业
69,K70,房地产业
70,L71,租赁业
71,L72,商务服务业
72,M73,研究和试验发展
73,M74,专业技术服务业
74,M75,科技推广和应用服务业
75,N76,水利管理业
76,N77,生态保护和环境治理业
77,N78,公共设施管理业
78,O79,居民服务业
79,O80,机动车、电子产品和日用产品修理业
80,O81,其他服务业
81,P82,教育
82,Q83,卫生
83,Q84,社会工作
84,R85,新闻和出版业
85,R86,广播、电视、电影和影视录音制作业
86,R87,文化艺术业
87,R88,体育
88,R89,娱乐业
89,S90,综合
